category,subcategory,metal,spanish,retail,retailp,unit,mode,isFee,isCall,single
DATE,,"Friday, August 7, 2026",,,,,,,,
COPPER,COPPER — Per Pound / COBRE — Por Libra,Bare Bright Copper Wire,Cobre brillante sin revestimiento,$5.20 ,$5.30 ,lb,two-col,,,
COPPER,COPPER — Per Pound / COBRE — Por Libra,#1 Copper,Cobre #1 — tubos y cañerías limpias,$5.10 ,$5.20 ,lb,two-col,,,
COPPER,COPPER — Per Pound / COBRE — Por Libra,#2 Copper,Cobre #2 — con pintura o soldadura,$4.90 ,$5.00 ,lb,two-col,,,
COPPER,COPPER — Per Pound / COBRE — Por Libra,#3 / Sheet / Light Copper,"Cobre #3 — láminas, canaletas, calderas",$4.70 ,$4.80 ,lb,two-col,,,
COPPER,COPPER — Per Pound / COBRE — Por Libra,Copper – Tin Plated,Cobre bañado en estaño,$4.90 ,$5.00 ,lb,two-col,,,
COPPER,COPPER — Per Pound / COBRE — Por Libra,Copper – 75% Cu / 25% Brass,Cobre 75% / Latón 25%,$3.55 ,$3.65 ,lb,two-col,,,
COPPER,COPPER — Per Pound / COBRE — Por Libra,Copper Turnings,Virutas de cobre,$4.00 ,$4.10 ,lb,two-col,,,
COPPER,COPPER — Per Pound / COBRE — Por Libra,Cu/Al Radiators – Clean,Radiadores cobre/aluminio — limpios,$2.50 ,$2.60 ,lb,two-col,,,
COPPER,COPPER — Per Pound / COBRE — Por Libra,Cu/Al Radiators – Irony,Radiadores cobre/aluminio — con hierro,$2.30 ,$2.40 ,lb,two-col,,,
COPPER,COPPER — Per Pound / COBRE — Por Libra,Alternators,Alternadores,$0.65 ,$0.70 ,lb,two-col,,,
COPPER,COPPER — Per Pound / COBRE — Por Libra,Starters,Arranques (starters),$0.40 ,$0.45 ,lb,two-col,,,
COPPER,COPPER — Per Pound / COBRE — Por Libra,AC Compressors,Compresores de aire acondicionado,$0.15 ,$0.20 ,lb,two-col,,,
COPPER,COPPER — Per Pound / COBRE — Por Libra,Copper Electric Motors,Motores eléctricos de cobre,$0.25 ,$0.30 ,lb,two-col,,,
COPPER,COPPER — Per Pound / COBRE — Por Libra,Sealed Units,Unidades selladas,$0.15 ,$0.20 ,lb,two-col,,,
INSULATED COPPER WIRE,INSULATED COPPER WIRE — Per Pound / CABLE DE COBRE AISLADO — Por Libra,Insulated Copper Cable,Cable de cobre aislado — pelable,$3.75 ,$3.85 ,lb,two-col,,,
INSULATED COPPER WIRE,INSULATED COPPER WIRE — Per Pound / CABLE DE COBRE AISLADO — Por Libra,Insulated #1 Copper / ROMEX,Cobre aislado #1 / ROMEX,$3.00 ,$3.10 ,lb,two-col,,,
INSULATED COPPER WIRE,INSULATED COPPER WIRE — Per Pound / CABLE DE COBRE AISLADO — Por Libra,Auto Harness Wire – Clean,Arnés automotriz — limpio,$1.95 ,$2.05 ,lb,two-col,,,
INSULATED COPPER WIRE,INSULATED COPPER WIRE — Per Pound / CABLE DE COBRE AISLADO — Por Libra,Insulated Cat 5/6 Wire,Cable de red Cat 5/6 aislado,$1.90 ,$2.00 ,lb,two-col,,,
